,uid,anime_uid,score
1177,133549,4181,10
1178,280781,4181,10
1179,204202,4181,9
1180,190940,4181,10
1181,190137,4181,7
1182,186741,4181,8
1183,70511,4181,10
1184,204085,4181,10
1185,53971,4181,10
1186,215126,30276,10
1187,232418,30276,9
1188,206481,30276,9
1189,216705,30276,8
1190,206159,30276,9
1191,221373,30276,7
1192,223815,30276,7
1193,223116,30276,8
1194,206151,30276,8
1195,224491,30276,10
1196,221282,30276,8
1197,219969,30276,8
1198,228549,30276,9
1199,206187,30276,9
1200,219272,30276,8
1201,219404,30276,6
1202,227773,30276,10
1203,146477,3750,8
1204,297996,33263,8
1205,232265,32380,7
1206,325359,38084,9
1207,236298,388,8
1208,37791,9724,8
1209,312855,37985,9
1210,313083,37985,10
1211,159209,1172,7
1212,36562,397,10
1213,320,397,7
1214,3348,397,9
1215,200504,28999,3
1216,40991,3092,10
1217,170927,20057,10
1218,283187,28999,6
1219,283475,35860,9
1220,282654,35860,9
1221,283922,35860,8
1222,300015,28999,7
1223,300698,28999,10
1224,259344,28999,6
1225,301381,28999,10
1226,276508,35860,7
1227,274292,35860,10
1228,275214,35860,8
1229,206503,20057,10
1230,240022,28999,10
1231,287535,28999,7
1232,265012,28999,8
1233,282075,28999,8
1234,201452,28999,9
1235,201756,28999,8
1236,222244,28999,8
1237,201563,28999,7
1238,201472,28999,7
1239,213588,28999,6
1240,213406,28999,8
1241,252865,28999,7
1242,253512,28999,4
1243,273789,28999,8
1244,311041,28999,8
1245,206758,28999,5
1246,199733,28999,8
1247,205755,28999,8
1248,199742,28999,5
1249,199748,28999,8
1250,203629,28999,7
1251,216362,28999,4
1252,199939,28999,6
1253,221153,28999,5
1254,200482,28999,10
1255,200078,28999,10
1256,204729,28999,10
1257,199687,28999,6
1258,199710,28999,8
1259,199684,28999,8
1260,199790,28999,9
1261,199834,28999,9
1262,211271,28999,9
1263,216134,28999,9
1264,210822,28999,10
1265,209446,28999,10
1266,222884,28999,5
1267,267379,28999,7
1268,268762,28999,7
1269,245152,28999,7
1270,246922,28999,2
1271,272358,28999,10
1272,274755,28999,10
1273,236475,28999,8
1274,235923,28999,10
1275,199701,28999,8
1276,234743,28999,9
1277,199818,28999,7
1278,201100,28999,6
1279,222253,28999,7
1280,208634,28999,8
1281,219737,28999,8
1282,201685,28999,6
1283,295572,28999,7
1284,247680,28999,9
1285,301276,28999,8
1286,302920,28999,6
1287,303112,28999,8
1288,200738,28999,5
1289,232794,28999,9
1290,225996,28999,8
1291,225586,28999,10
1292,206242,28999,10
1293,211619,28999,7
